specification,term,estimate,se_cluster,p_cluster,ci95_lo,ci95_hi,N,G,weight,cluster,estimator,dropped_economy
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.015614621430489178,0.006028133600835254,0.009589477509317445,-0.027429763288126276,-0.0037994795728520814,96850,92,w_equal,economy,WLS LPM,COG
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01600193059525922,0.006120232048802938,0.008933320737178717,-0.02799758541091298,-0.004006275779605464,96852,92,w_equal,economy,WLS LPM,COL
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01724815982586498,0.005925919210974234,0.0036070056889777225,-0.028862961479374477,-0.005633358172355482,96905,92,w_equal,economy,WLS LPM,COM
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.017055905811032845,0.006032615279921919,0.004694493733857435,-0.028879831759679807,-0.005231979862385884,96856,92,w_equal,economy,WLS LPM,CRI
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.012674360378571286,0.0052182168259826325,0.015146041458878596,-0.022902065357497246,-0.0024466553996453262,96872,92,w_equal,economy,WLS LPM,DOM
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.015672092098894422,0.006020169406489624,0.009234073667194394,-0.027471624135614083,-0.0038725600621747607,96844,92,w_equal,economy,WLS LPM,DZA
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.015410765685376105,0.006072851604179854,0.011159985667332553,-0.02731355482956862,-0.0035079765411835905,96853,92,w_equal,economy,WLS LPM,ECU
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.015615103579596001,0.005965133304977801,0.008851702283683822,-0.027306764857352492,-0.003923442301839513,96846,92,w_equal,economy,WLS LPM,EGY
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01577026483046876,0.006061100693679793,0.009271392345793503,-0.027650022190081155,-0.003890507470856364,96846,92,w_equal,economy,WLS LPM,ETH
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01576098724604278,0.0059781129541114225,0.0083778903373534,-0.02747808863610117,-0.004043885855984393,96852,92,w_equal,economy,WLS LPM,GAB
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.014470519109680736,0.006014326332803581,0.016127898040001917,-0.026258598721975755,-0.0026824394973857177,96854,92,w_equal,economy,WLS LPM,GEO
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01593623680901359,0.005980147146491056,0.0077021073381691755,-0.027657325216136064,-0.004215148401891121,96849,92,w_equal,economy,WLS LPM,GHA
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.015704558418358362,0.006083038252074466,0.009831601057629267,-0.027627313392424316,-0.0037818034442924087,96847,92,w_equal,economy,WLS LPM,GIN
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.016336294629378124,0.006087863816367227,0.007287343976304654,-0.028268507709457887,-0.004404081549298359,96851,92,w_equal,economy,WLS LPM,GMB
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.016148309435724807,0.005985792351193696,0.006980500669195542,-0.02788046244406445,-0.004416156427385163,96861,92,w_equal,economy,WLS LPM,GTM
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.016001533057325316,0.005990816721429758,0.007562333043878007,-0.027743533831327643,-0.00425953228332299,96853,92,w_equal,economy,WLS LPM,HND
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.016491390192498845,0.00600235313309034,0.0060053798343603255,-0.02825600233335591,-0.004726778051641779,96856,92,w_equal,economy,WLS LPM,HRV
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.016134086626220144,0.005988442607894218,0.007055694440668986,-0.02787143413769281,-0.004396739114747477,96781,92,w_equal,economy,WLS LPM,IDN
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01590927687337731,0.006023598732809211,0.008262314161426238,-0.027715530389683364,-0.004103023357071259,94847,92,w_equal,economy,WLS LPM,IND
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01620705769722359,0.005990856672295365,0.006824296327579465,-0.027949136774922504,-0.0044649786195246725,96840,92,w_equal,economy,WLS LPM,IRN
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01712148282149881,0.005988766885452353,0.0042506865471753025,-0.028859465916985422,-0.005383499726012198,96858,92,w_equal,economy,WLS LPM,IRQ
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.016163763029701135,0.0060090631263658816,0.0071473998888711325,-0.027941526757378262,-0.004385999302024008,96850,92,w_equal,economy,WLS LPM,JOR
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.015259118193897362,0.005971221076183299,0.010605257120901733,-0.02696271150321663,-0.0035555248845780957,96866,92,w_equal,economy,WLS LPM,KAZ
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01612873595094396,0.005982438919800403,0.0070174827490852455,-0.02785431623375275,-0.004403155668135171,96848,92,w_equal,economy,WLS LPM,KEN
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.016086407552864633,0.005989914489495164,0.007240356905945231,-0.027826639952275155,-0.004346175153454111,96849,92,w_equal,economy,WLS LPM,KGZ
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.016605502287538335,0.00594697944182149,0.0052341566403956395,-0.028261581993508453,-0.004949422581568216,96847,92,w_equal,economy,WLS LPM,KHM
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.015633708710922133,0.005995222441247986,0.009115426217527305,-0.027384344695768184,-0.0038830727260760808,96848,92,w_equal,economy,WLS LPM,LAO
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.015711932513120516,0.005989866211912135,0.008713734642415597,-0.0274520702884683,-0.003971794737772731,96840,92,w_equal,economy,WLS LPM,LBN
